group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
7,RP11-498P14.5,-0.03755761,1.1012566,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FAM157C,-0.03755761,1.1462541,0.9700404082425609,0.9893323898445292,1.0,1.0
7,ADORA2A-AS1,-0.03755761,1.1380515,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP3-475N16.1,-0.03755761,1.1120808,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FAM71D,-0.03755761,1.1195742,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FUT8-AS1,-0.03755761,1.1605631,0.9700404082425609,0.9893323898445292,1.0,1.0
7,MYCBP2-AS1,-0.03755761,1.1450197,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-95O2.5,-0.03755761,1.1057774,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-158H5.8,-0.03755761,1.1344008,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-723D22.3,-0.03755761,1.1110847,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-360L9.7,-0.03755761,1.1120794,0.9700404082425609,0.9893323898445292,1.0,1.0
7,C9orf66,-0.03755761,1.1382648,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-196G11.2,-0.03755761,1.1384857,0.9700404082425609,0.9893323898445292,1.0,1.0
7,DCX,-0.03755761,1.1464493,0.9700404082425609,0.9893323898445292,1.0,1.0
7,XX-FW83563B9.5,-0.03755761,1.1182013,0.9700404082425609,0.9893323898445292,1.0,1.0
7,SCN8A,-0.03755761,1.1512879,0.9700404082425609,0.9893323898445292,1.0,1.0
7,KLRC2,-0.03755761,1.1283267,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FAM85B,-0.03755761,1.1247971,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-475E11.9,-0.03755761,1.1109053,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CTD-2507G9.1,-0.03755761,1.1118765,0.9700404082425609,0.9893323898445292,1.0,1.0
7,BRICD5,-0.03755761,1.1533068,0.9700404082425609,0.9893323898445292,1.0,1.0
7,PIPOX,-0.03755761,1.1160077,0.9700404082425609,0.9893323898445292,1.0,1.0
7,ADRB1,-0.03755761,1.1315173,0.9700404082425609,0.9893323898445292,1.0,1.0
7,BCAN,-0.03755761,1.1353663,0.9700404082425609,0.9893323898445292,1.0,1.0
7,IQGAP3,-0.03755761,1.12879,0.9700404082425609,0.9893323898445292,1.0,1.0
7,FAM72B,-0.03755761,1.131052,0.9700404082425609,0.9893323898445292,1.0,1.0
7,CD160,-0.03755761,1.1086175,0.9700404082425609,0.9893323898445292,1.0,1.0
7,PIK3R6,-0.03755761,1.1054935,0.9700404082425609,0.9893323898445292,1.0,1.0
7,ASAH2,-0.03755761,1.1067008,0.9700404082425609,0.9893323898445292,1.0,1.0
7,RP11-486I11.2,-0.03755761,1.1091771,0.9700404082425609,0.9893323898445292,1.0,1.0
7,PAM16,-0.03755761,1.130417,0.9700404082425609,0.9893323898445292,1.0,1.0
7,ARRDC5,-0.03755761,1.125794,0.9700404082425609,0.9893323898445292,1.0,1.0
