group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
8,KLRB1,11.505559,6.0237007,1.2368529509393263e-30,1.818792264356279e-26,0.9464285714285714,0.07913870246085011
8,IL32,9.319109,3.6480515,1.1732114869799662e-20,8.626037458020201e-17,0.9642857142857143,0.3076062639821029
8,LTB,9.026161,4.2004714,1.777994803848681e-19,8.715137863531618e-16,0.8214285714285714,0.15715883668903805
8,CD69,8.934206,3.6726286,4.1011391400121917e-19,1.4836256236063352e-15,0.9285714285714286,0.2606263982102908
8,AC092580.4,8.911281,4.792766,5.044629798049423e-19,1.4836256236063352e-15,0.7678571428571429,0.09256152125279642
8,S100A4,8.579483,0.9234979,9.530044134507933e-18,2.3356549832989857e-14,1.0,0.9119127516778524
8,CD52,8.484831,3.3184543,2.1603348930694353e-17,4.5382463717980064e-14,0.9642857142857143,0.3378076062639821
8,RGS1,8.464924,3.0278409,2.563200765170852e-17,4.711483406479672e-14,0.875,0.34675615212527966
8,RPL21,8.0465,0.49639082,8.519524583714393e-16,1.3919956555946682e-12,1.0,0.9932885906040269
8,IL7R,7.9806156,3.5567405,1.4560500785928986e-15,2.1411216405708573e-12,0.8035714285714286,0.19966442953020133
8,TMA7,7.805438,1.3312682,5.929532895026506e-15,7.926707383760433e-12,0.9285714285714286,0.7393736017897091
8,RPS12,7.716821,0.5896318,1.1926658722775639e-14,1.4615126376534648e-11,1.0,0.9681208053691275
8,RPL28,7.452385,0.67340565,9.16678649806728e-14,1.0369045804159949e-10,1.0,0.9558165548098434
8,RPLP2,7.402683,0.57267106,1.3346050539264227e-13,1.4018119512848604e-10,1.0,0.9714765100671141
8,RPS21,7.3897114,0.9088557,1.4714807703288005e-13,1.442541648512334e-10,0.9642857142857143,0.8716442953020134
8,RPS29,7.3547783,0.5629872,1.9124420932252854e-13,1.654262410639872e-10,1.0,0.9840604026845637
8,RPLP1,7.13754,0.44254622,9.501621529315223e-13,7.127748749413557e-10,1.0,0.9899328859060402
8,RPS20,7.1365767,0.51656055,9.568411084984163e-13,7.127748749413557e-10,0.9821428571428571,0.9608501118568232
8,RPS27A,7.1347785,0.4792526,9.694319958399942e-13,7.127748749413557e-10,1.0,0.9821029082774049
8,RPS2,7.1272655,0.48374832,1.0238264989932607e-12,7.169223175093285e-10,1.0,0.9848993288590604
8,CD3D,7.0699215,3.1221554,1.550214031968915e-12,1.036177151822859e-09,0.7857142857142857,0.2354586129753915
8,RPL13,7.0615735,0.4709213,1.6462757481837883e-12,1.052542820740983e-09,1.0,0.9860178970917226
8,RPL36,7.0202193,0.63537997,2.215204200497112e-12,1.3572740736795845e-09,1.0,0.9524608501118568
8,RPS15A,6.94085,0.5364326,3.897484755963027e-12,2.292500533457452e-09,0.9821428571428571,0.9569351230425056
8,B2M,6.9253097,0.42633665,4.3502267114809024e-12,2.4603878381664106e-09,1.0,0.9944071588366891
8,RPL19,6.9113107,0.5627477,4.801953310266562e-12,2.6152860528692517e-09,1.0,0.9636465324384788
8,RPS19,6.8783045,0.53920084,6.056910102438183e-12,3.180959394869767e-09,1.0,0.9753914988814317
8,RPS4X,6.7658644,0.5428586,1.3251564078829866e-11,6.495474992639772e-09,0.9821428571428571,0.9499440715883669
8,RPL34,6.7326655,0.41079193,1.6658294349055673e-11,7.901942529124634e-09,1.0,0.9924496644295302
8,RPL32,6.7132726,0.4446743,1.9030730131830924e-11,8.745215205892928e-09,1.0,0.9871364653243848
