rank,0,1,10,11,12,13,2,3,4,5,6,7,8,9
40,EPAS1,RPL19,UTRN,ELK3,LGALS3,PEBP1,FBLN2,GPR183,TIMP2,MRC1,TNFAIP3,PPIA,RPL35A,PFN1
41,LPP,RPS25,SNCG,ESAM,NME1,COX7B,MFAP4,RNASE6,PPIC,CTSZ,RPL37A,USMG5,RPL41,RPS14
42,COL4A1,RPL3,RAB11FIP1,CRIP2,RPLP0,CAMK2N1,GPNMB,PLEK,FSTL1,FGL2,CAPG,KRT1,RPS18,MALAT1
43,COL14A1,RPS12,GYPC,SOX18,POLR2F,NDUFB7,COL6A1,EVI2B,C1S,ITM2B,VIM,RPL7A,RPS25,RPL41
44,LMOD1,TSC22D3,MARCKSL1,INSR,PRKD3,SLC12A2,MXRA8,CSF2RA,NBL1,MAF,GCSAML,BTF3,CALM1,FCER1G
45,SEPT7,RPS4X,TIMP3,CRIM1,EIF3L,TPD52L1,TIMP2,PPT1,FBN1,CYBB,ANKRD28,RPL8,RPS3,FAU
46,MEF2C,ZFP36L2,ADD3,S100A16,FTH1,HIF1A,IGF1,REL,PTK7,STAB1,FOS,RPS17,RPL10,RPL10
47,TINAGL1,CD2,LYVE1,CCDC85B,SNCA,UQCRB,ABI3BP,NAMPT,PMEPA1,CTSC,S100A6,DMKN,RPL18A,RPS27A
48,PDGFRB,RPL30,SEMA6A,CTGF,RPSA,NDUFB4,THY1,VAMP8,FRMD6,FCGRT,H3F3A,KRT6B,TMSB10,MT-CO1
49,MYH9,RPL12,SULF2,MYH9,TRIB2,ATP5L,CLU,GLIPR1,MARCKS,CCL3,LGALS3,CTNNBIP1,RPL12,HLA-E
50,PRKCDBP,RPL23A,IGF1,PODXL,TIMM13,HSPA9,S100A13,LAPTM5,OLFML3,CXCL2,DUSP6,RPS6,RPS27,RPS18
